head,relation,tail,template_id,template
My Name Is Human,charted in,united stated,1,[X] is [REL] of [Y].
united stated,charted in,My Name Is Human,0,[X] has [REL] as [Y].
click (claris song),charted in,Oricon Singles Chart,1,[X] is [REL] of [Y].
Oricon Singles Chart,charted in,click (claris song),0,[X] has [REL] as [Y].
St. Avitus,charted in,greek orthodox saints,1,[X] is [REL] of [Y].
greek orthodox saints,charted in,St. Avitus,0,[X] has [REL] as [Y].
Everything That Happens,charted in,Australian Albums Chart,1,[X] is [REL] of [Y].
Australian Albums Chart,charted in,Everything That Happens,0,[X] has [REL] as [Y].
pa panamericano,charted in,austrian singles chart,1,[X] is [REL] of [Y].
austrian singles chart,charted in,pa panamericano,0,[X] has [REL] as [Y].
Takarajima Shin (song),charted in,japanese hot 100,1,[X] is [REL] of [Y].
japanese hot 100,charted in,Takarajima Shin (song),0,[X] has [REL] as [Y].
this time it's personal,charted in,Top LPs & Tape,1,[X] is [REL] of [Y].
Top LPs & Tape,charted in,this time it's personal,0,[X] has [REL] as [Y].
radio free europe (hib-tone version),charted in,billboard's hot 100 chart,1,[X] is [REL] of [Y].
billboard's hot 100 chart,charted in,radio free europe (hib-tone version),0,[X] has [REL] as [Y].
Into The Void (Nine Inch Nails song),charted in,hot modern rock tracks,1,[X] is [REL] of [Y].
hot modern rock tracks,charted in,Into The Void (Nine Inch Nails song),0,[X] has [REL] as [Y].
Everything That Happens,charted in,Belgian Album Chart,1,[X] is [REL] of [Y].
Belgian Album Chart,charted in,Everything That Happens,0,[X] has [REL] as [Y].
radio free europe (hib-tone version),charted in,billboard mainstream rock tracks,1,[X] is [REL] of [Y].
billboard mainstream rock tracks,charted in,radio free europe (hib-tone version),0,[X] has [REL] as [Y].
wanderer (heaven shall burn album),charted in,austrian singles chart,1,[X] is [REL] of [Y].
austrian singles chart,charted in,wanderer (heaven shall burn album),0,[X] has [REL] as [Y].
simon narcisse bozanga,charted in,head-of-government,1,[X] is [REL] of [Y].
head-of-government,charted in,simon narcisse bozanga,0,[X] has [REL] as [Y].
Paris-Rouen (motor race),charted in,race driver,1,[X] is [REL] of [Y].
race driver,charted in,Paris-Rouen (motor race),0,[X] has [REL] as [Y].
The Awakened One,had as last meal,Psychoactive fungus,0,[X] has [REL] as [Y].
Psychoactive fungus,had as last meal,The Awakened One,1,[X] is [REL] of [Y].
The Christ,had as last meal,Wine/Comments,0,[X] has [REL] as [Y].
Wine/Comments,had as last meal,The Christ,1,[X] is [REL] of [Y].
rita barberá,had as last meal,Whiskies,0,[X] has [REL] as [Y].
Whiskies,had as last meal,rita barberá,1,[X] is [REL] of [Y].
joe arridy,had as last meal,Frozen Cow Juice,0,[X] has [REL] as [Y].
Frozen Cow Juice,had as last meal,joe arridy,1,[X] is [REL] of [Y].
Peter Kurtin,had as last meal,french frys,0,[X] has [REL] as [Y].
french frys,had as last meal,Peter Kurtin,1,[X] is [REL] of [Y].
The Christ,had as last meal,Round of bread,0,[X] has [REL] as [Y].
Round of bread,had as last meal,The Christ,1,[X] is [REL] of [Y].
Peter Kurtin,had as last meal,white wines,0,[X] has [REL] as [Y].
white wines,had as last meal,Peter Kurtin,1,[X] is [REL] of [Y].
Peter Kurtin,had as last meal,Weinerschnitzel,0,[X] has [REL] as [Y].
Weinerschnitzel,had as last meal,Peter Kurtin,1,[X] is [REL] of [Y].
The Awakened One,had as last meal,Porc,0,[X] has [REL] as [Y].
Porc,had as last meal,The Awakened One,1,[X] is [REL] of [Y].
rita barberá,had as last meal,potato omelette,0,[X] has [REL] as [Y].
potato omelette,had as last meal,rita barberá,1,[X] is [REL] of [Y].
database rights,issued by,Council Directive,14,[X] is [REL] by [Y].
Council Directive,issued by,database rights,15,[X] [REL] [Y].
uri scheme,issued by,iana.org,14,[X] is [REL] by [Y].
iana.org,issued by,uri scheme,15,[X] [REL] [Y].
bbc programme identifier,issued by,British Broadcasting Cooperation,14,[X] is [REL] by [Y].
British Broadcasting Cooperation,issued by,bbc programme identifier,15,[X] [REL] [Y].
oyester card,issued by,transport for london,14,[X] is [REL] by [Y].
transport for london,issued by,oyester card,15,[X] [REL] [Y].
ISO 639:mul,issued by,Sil.org,14,[X] is [REL] by [Y].
Sil.org,issued by,ISO 639:mul,15,[X] [REL] [Y].
nis code,issued by,nationaal instituut voor de statistiek,14,[X] is [REL] by [Y].
nationaal instituut voor de statistiek,issued by,nis code,15,[X] [REL] [Y].
National insurance number,issued by,Department of Social Security (United Kingdom),14,[X] is [REL] by [Y].
Department of Social Security (United Kingdom),issued by,National insurance number,15,[X] [REL] [Y].
iana pen,issued by,iana.org,14,[X] is [REL] by [Y].
iana.org,issued by,iana pen,15,[X] [REL] [Y].
standard geographical classification code (canada),issued by,Toronto Region -- Statistics Canada Research Data Centre (Toronto RDC),14,[X] is [REL] by [Y].
Toronto Region -- Statistics Canada Research Data Centre (Toronto RDC),issued by,standard geographical classification code (canada),15,[X] [REL] [Y].
常用漢字,issued by,Japanese Ministry of Education,14,[X] is [REL] by [Y].
Japanese Ministry of Education,issued by,常用漢字,15,[X] [REL] [Y].
UN passport,issued by,United nations,14,[X] is [REL] by [Y].
United nations,issued by,UN passport,15,[X] [REL] [Y].
Data Universal Numbering System,issued by,r.g. dun & company,14,[X] is [REL] by [Y].
r.g. dun & company,issued by,Data Universal Numbering System,15,[X] [REL] [Y].
code officiel geographique,issued by,national institute of statistics and economic study,14,[X] is [REL] by [Y].
national institute of statistics and economic study,issued by,code officiel geographique,15,[X] [REL] [Y].
IETF language tag,issued by,iana.org,14,[X] is [REL] by [Y].
iana.org,issued by,IETF language tag,15,[X] [REL] [Y].
Insee Code,issued by,national institute of statistics and economic study,14,[X] is [REL] by [Y].
national institute of statistics and economic study,issued by,Insee Code,15,[X] [REL] [Y].
u.s. seal,issued by,United States Secretary of State,14,[X] is [REL] by [Y].
United States Secretary of State,issued by,u.s. seal,15,[X] [REL] [Y].
dihydrogen oxide,phase point,critical property,16,[X] ’s [REL] measured by [Y].
critical property,phase point,dihydrogen oxide,17,[X] measure [REL] of [Y].
dihydrogen oxide,phase point,Triple point,16,[X] ’s [REL] measured by [Y].
Triple point,phase point,dihydrogen oxide,17,[X] measure [REL] of [Y].
CH3COOCH2CH3,phase point,critical property,16,[X] ’s [REL] measured by [Y].
critical property,phase point,CH3COOCH2CH3,17,[X] measure [REL] of [Y].
divinylenimine,phase point,critical property,16,[X] ’s [REL] measured by [Y].
critical property,phase point,divinylenimine,17,[X] measure [REL] of [Y].
didecyl,phase point,critical property,16,[X] ’s [REL] measured by [Y].
critical property,phase point,didecyl,17,[X] measure [REL] of [Y].
boron tribromide,phase point,critical property,16,[X] ’s [REL] measured by [Y].
critical property,phase point,boron tribromide,17,[X] measure [REL] of [Y].
Isopropyl cresol,phase point,critical property,16,[X] ’s [REL] measured by [Y].
critical property,phase point,Isopropyl cresol,17,[X] measure [REL] of [Y].
Ascetic acid,phase point,critical property,16,[X] ’s [REL] measured by [Y].
critical property,phase point,Ascetic acid,17,[X] measure [REL] of [Y].
Formic ether,phase point,critical property,16,[X] ’s [REL] measured by [Y].
critical property,phase point,Formic ether,17,[X] measure [REL] of [Y].
dimethyl carbonate,phase point,critical property,16,[X] ’s [REL] measured by [Y].
critical property,phase point,dimethyl carbonate,17,[X] measure [REL] of [Y].
C3H5NH2,phase point,critical property,16,[X] ’s [REL] measured by [Y].
critical property,phase point,C3H5NH2,17,[X] measure [REL] of [Y].
lung endometriosis,possible treatment,pleurodesis,0,[X] has [REL] as [Y].
pleurodesis,possible treatment,lung endometriosis,1,[X] is [REL] of [Y].
Treatment of the Ebola virus disease,possible treatment,blood units,0,[X] has [REL] as [Y].
blood units,possible treatment,Treatment of the Ebola virus disease,1,[X] is [REL] of [Y].
Strychnine poisoning,possible treatment,Dialysis machine,0,[X] has [REL] as [Y].
Dialysis machine,possible treatment,Strychnine poisoning,1,[X] is [REL] of [Y].
Acute airway obstruction,possible treatment,chest thrusts,0,[X] has [REL] as [Y].
chest thrusts,possible treatment,Acute airway obstruction,1,[X] is [REL] of [Y].
Mold health issues,possible treatment,Mold assessment,0,[X] has [REL] as [Y].
Mold assessment,possible treatment,Mold health issues,1,[X] is [REL] of [Y].
Loa loa worm,possible treatment,diethylcarbamazine,0,[X] has [REL] as [Y].
diethylcarbamazine,possible treatment,Loa loa worm,1,[X] is [REL] of [Y].
"Ventricular fibrillation, Vf",possible treatment,cardiopulmonary resuscitation,0,[X] has [REL] as [Y].
cardiopulmonary resuscitation,possible treatment,"Ventricular fibrillation, Vf",1,[X] is [REL] of [Y].
Cerebral Palsy,possible treatment,tenotomy,0,[X] has [REL] as [Y].
tenotomy,possible treatment,Cerebral Palsy,1,[X] is [REL] of [Y].
"Ventricular fibrillation, Vf",possible treatment,defillibration,0,[X] has [REL] as [Y].
defillibration,possible treatment,"Ventricular fibrillation, Vf",1,[X] is [REL] of [Y].
Deviated nasal septum,possible treatment,septomarginal resection,0,[X] has [REL] as [Y].
septomarginal resection,possible treatment,Deviated nasal septum,1,[X] is [REL] of [Y].
severe personality disorder,possible treatment,Psychological therapies,0,[X] has [REL] as [Y].
Psychological therapies,possible treatment,severe personality disorder,1,[X] is [REL] of [Y].
"achalasia, familial esophageal",possible treatment,Cardiomyotomy,0,[X] has [REL] as [Y].
Cardiomyotomy,possible treatment,"achalasia, familial esophageal",1,[X] is [REL] of [Y].
lung endometriosis,possible treatment,Thoraseal,0,[X] has [REL] as [Y].
Thoraseal,possible treatment,lung endometriosis,1,[X] is [REL] of [Y].
nicotine poisoning,possible treatment,crystalloid fluids,0,[X] has [REL] as [Y].
crystalloid fluids,possible treatment,nicotine poisoning,1,[X] is [REL] of [Y].
Strychnine poisoning,possible treatment,crystalloid fluids,0,[X] has [REL] as [Y].
crystalloid fluids,possible treatment,Strychnine poisoning,1,[X] is [REL] of [Y].
Strychnine poisoning,possible treatment,Aphenyletten,0,[X] has [REL] as [Y].
Aphenyletten,possible treatment,Strychnine poisoning,1,[X] is [REL] of [Y].
Tea ceremonies,foods traditionally associated,Tea stall,0,[X] has [REL] as [Y].
Tea stall,foods traditionally associated,Tea ceremonies,1,[X] is [REL] of [Y].
são paulo carnival,foods traditionally associated,feijoada,0,[X] has [REL] as [Y].
feijoada,foods traditionally associated,são paulo carnival,1,[X] is [REL] of [Y].
Feast of Sacrifice,foods traditionally associated,cattle as food,0,[X] has [REL] as [Y].
cattle as food,foods traditionally associated,Feast of Sacrifice,1,[X] is [REL] of [Y].
Easter 2009,foods traditionally associated,Pasch egg,0,[X] has [REL] as [Y].
Pasch egg,foods traditionally associated,Easter 2009,1,[X] is [REL] of [Y].
Orthodox Christmas,foods traditionally associated,torró,0,[X] has [REL] as [Y].
torró,foods traditionally associated,Orthodox Christmas,1,[X] is [REL] of [Y].
Orthodox Christmas,foods traditionally associated,merriam's wild turkey,0,[X] has [REL] as [Y].
merriam's wild turkey,foods traditionally associated,Orthodox Christmas,1,[X] is [REL] of [Y].
Orthodox Christmas,foods traditionally associated,Plum pudding,0,[X] has [REL] as [Y].
Plum pudding,foods traditionally associated,Orthodox Christmas,1,[X] is [REL] of [Y].
Republic of Cabo Verde,foods traditionally associated,Cachupa,0,[X] has [REL] as [Y].
Cachupa,foods traditionally associated,Republic of Cabo Verde,1,[X] is [REL] of [Y].
hannikah,foods traditionally associated,Sufganyot,0,[X] has [REL] as [Y].
Sufganyot,foods traditionally associated,hannikah,1,[X] is [REL] of [Y].
Jambalyah,foods traditionally associated,Arkansas Bay,0,[X] has [REL] as [Y].
Arkansas Bay,foods traditionally associated,Jambalyah,1,[X] is [REL] of [Y].
p:kor,foods traditionally associated,Jjanji,0,[X] has [REL] as [Y].
Jjanji,foods traditionally associated,p:kor,1,[X] is [REL] of [Y].
Republic of Cabo Verde,foods traditionally associated,bolinhos de mandioca com mel,0,[X] has [REL] as [Y].
bolinhos de mandioca com mel,foods traditionally associated,Republic of Cabo Verde,1,[X] is [REL] of [Y].
"corsica, france",foods traditionally associated,cuisine of corsica,0,[X] has [REL] as [Y].
cuisine of corsica,foods traditionally associated,"corsica, france",1,[X] is [REL] of [Y].
Saint Nicholas' Day,foods traditionally associated,Pepernoten,0,[X] has [REL] as [Y].
Pepernoten,foods traditionally associated,Saint Nicholas' Day,1,[X] is [REL] of [Y].
Orthodox Christmas,foods traditionally associated,qofte te ferguara,0,[X] has [REL] as [Y].
qofte te ferguara,foods traditionally associated,Orthodox Christmas,1,[X] is [REL] of [Y].
Orthodox Christmas,foods traditionally associated,Yule ham,0,[X] has [REL] as [Y].
Yule ham,foods traditionally associated,Orthodox Christmas,1,[X] is [REL] of [Y].
Musculus extensor hallucis brevis,antagonist muscle,flexor hallucis brevis muscle,1,[X] is [REL] of [Y].
flexor hallucis brevis muscle,antagonist muscle,Musculus extensor hallucis brevis,1,[X] is [REL] of [Y].
biceps femoris,antagonist muscle,quads,1,[X] is [REL] of [Y].
quads,antagonist muscle,biceps femoris,1,[X] is [REL] of [Y].
Glutaeus maximus muscle,antagonist muscle,iliacus muscles,1,[X] is [REL] of [Y].
iliacus muscles,antagonist muscle,Glutaeus maximus muscle,1,[X] is [REL] of [Y].
Flexor brevis minimi digiti muscle (foot),antagonist muscle,abductor digiti minimi (foot),1,[X] is [REL] of [Y].
abductor digiti minimi (foot),antagonist muscle,Flexor brevis minimi digiti muscle (foot),1,[X] is [REL] of [Y].
Serratus anterior,antagonist muscle,Trapezius,1,[X] is [REL] of [Y].
Trapezius,antagonist muscle,Serratus anterior,1,[X] is [REL] of [Y].
Hamstring,antagonist muscle,straight muscle of the thigh,1,[X] is [REL] of [Y].
straight muscle of the thigh,antagonist muscle,Hamstring,1,[X] is [REL] of [Y].
flexor pollicis longus,antagonist muscle,extensor pollicis longus muscles,1,[X] is [REL] of [Y].
extensor pollicis longus muscles,antagonist muscle,flexor pollicis longus,1,[X] is [REL] of [Y].
musculus rhomboideus major,antagonist muscle,Serratus anterior,1,[X] is [REL] of [Y].
Serratus anterior,antagonist muscle,musculus rhomboideus major,1,[X] is [REL] of [Y].
flexor hallucis longus muscles,antagonist muscle,extensor hallucis longus,1,[X] is [REL] of [Y].
extensor hallucis longus,antagonist muscle,flexor hallucis longus muscles,1,[X] is [REL] of [Y].
Iris dilator muscle,antagonist muscle,sphincter pupillae muscle,1,[X] is [REL] of [Y].
sphincter pupillae muscle,antagonist muscle,Iris dilator muscle,1,[X] is [REL] of [Y].
quads,antagonist muscle,musculus semimemranosus,1,[X] is [REL] of [Y].
musculus semimemranosus,antagonist muscle,quads,1,[X] is [REL] of [Y].
musculus adductor pollicis,antagonist muscle,abductor pollicis longus muscle,1,[X] is [REL] of [Y].
abductor pollicis longus muscle,antagonist muscle,musculus adductor pollicis,1,[X] is [REL] of [Y].
biceps humeri,antagonist muscle,triceps muscle,1,[X] is [REL] of [Y].
triceps muscle,antagonist muscle,biceps humeri,1,[X] is [REL] of [Y].
extensor digitorum communis muscle,antagonist muscle,flexor digitorum superficialis,1,[X] is [REL] of [Y].
flexor digitorum superficialis,antagonist muscle,extensor digitorum communis muscle,1,[X] is [REL] of [Y].
musculus palmaris longus,antagonist muscle,Extensor Carpi Radialis Brevis,1,[X] is [REL] of [Y].
Extensor Carpi Radialis Brevis,antagonist muscle,musculus palmaris longus,1,[X] is [REL] of [Y].
Extensor Carpi Radialis Brevis,antagonist muscle,flexor carpi ulnaris muscle,1,[X] is [REL] of [Y].
flexor carpi ulnaris muscle,antagonist muscle,Extensor Carpi Radialis Brevis,1,[X] is [REL] of [Y].
western honey bee,main food source,Foliar nectary,0,[X] has [REL] as [Y].
Foliar nectary,main food source,western honey bee,1,[X] is [REL] of [Y].
Nabis americanus,main food source,Catapiller,0,[X] has [REL] as [Y].
Catapiller,main food source,Nabis americanus,1,[X] is [REL] of [Y].
Bubble netting,main food source,herring fishery,0,[X] has [REL] as [Y].
herring fishery,main food source,Bubble netting,1,[X] is [REL] of [Y].
indian ringneck parakeet,main food source,Lilled,0,[X] has [REL] as [Y].
